epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,6749.8,1.35646,1.00627,1.42921,0.90853,0.86073,0.9267,0.63643,1.16452,0.7305,1.4305,0.00703,0.00703,0.00703
32,6965.09,1.35479,0.98727,1.43268,0.89616,0.85389,0.92543,0.64206,1.1435,0.71386,1.42449,0.006931,0.006931,0.006931
33,7182.46,1.33763,0.983,1.42017,0.91416,0.87223,0.93483,0.63986,1.18228,0.69809,1.47064,0.006832,0.006832,0.006832
34,7398.5,1.34519,0.98651,1.42647,0.89858,0.88546,0.9357,0.65249,1.13748,0.69169,1.41918,0.006733,0.006733,0.006733
35,7618.05,1.31335,0.97142,1.40434,0.9165,0.86782,0.9294,0.64593,1.15626,0.69029,1.42878,0.006634,0.006634,0.006634
36,7835.63,1.32754,0.96603,1.41271,0.91638,0.85705,0.93091,0.65137,1.12776,0.70884,1.41006,0.006535,0.006535,0.006535
37,8053.62,1.31062,0.94041,1.39509,0.89699,0.87856,0.9326,0.64436,1.12684,0.69565,1.41648,0.006436,0.006436,0.006436
38,8268.66,1.3119,0.95892,1.39801,0.90958,0.87809,0.94072,0.66195,1.12571,0.66957,1.40721,0.006337,0.006337,0.006337
39,8486.86,1.30895,0.942,1.38644,0.92077,0.86211,0.93738,0.64544,1.1411,0.68038,1.41763,0.006238,0.006238,0.006238
40,8703.36,1.30019,0.93603,1.38549,0.92854,0.87114,0.94012,0.65896,1.12683,0.65661,1.40327,0.006139,0.006139,0.006139
41,8920.65,1.29935,0.92254,1.38654,0.92224,0.87034,0.94074,0.66309,1.1246,0.65628,1.41214,0.00604,0.00604,0.00604
42,9140.03,1.29196,0.9221,1.3846,0.90895,0.87767,0.93911,0.65282,1.139,0.67424,1.41787,0.005941,0.005941,0.005941
43,9357.6,1.28942,0.91793,1.38147,0.91058,0.86907,0.93968,0.658,1.11924,0.66634,1.40048,0.005842,0.005842,0.005842
44,9575.15,1.28897,0.90781,1.38382,0.92313,0.87856,0.94686,0.66584,1.12044,0.64058,1.39936,0.005743,0.005743,0.005743
45,9792.68,1.27297,0.89392,1.36972,0.92254,0.88893,0.94415,0.65884,1.12524,0.64485,1.40381,0.005644,0.005644,0.005644
46,10008.7,1.26916,0.89369,1.36858,0.92444,0.8744,0.94535,0.67268,1.10097,0.6392,1.38616,0.005545,0.005545,0.005545
47,10225.2,1.26619,0.87618,1.36032,0.94156,0.85605,0.94445,0.66217,1.11305,0.64142,1.39559,0.005446,0.005446,0.005446
48,10444.1,1.26133,0.88085,1.35832,0.91015,0.8842,0.93945,0.66471,1.11418,0.6457,1.39716,0.005347,0.005347,0.005347
49,10662.6,1.25509,0.88201,1.35331,0.93689,0.8733,0.94688,0.67137,1.10248,0.61572,1.38257,0.005248,0.005248,0.005248
50,10879.8,1.25476,0.87861,1.35682,0.92448,0.88273,0.94167,0.66309,1.09894,0.64182,1.38606,0.005149,0.005149,0.005149
51,11095.1,1.24616,0.86785,1.34754,0.94864,0.86022,0.94399,0.66261,1.1094,0.63694,1.38628,0.00505,0.00505,0.00505
52,11313.9,1.24135,0.86612,1.3446,0.93007,0.88332,0.94389,0.6772,1.08842,0.61956,1.37237,0.004951,0.004951,0.004951
53,11531.2,1.23389,0.84318,1.33605,0.92747,0.88678,0.94604,0.6752,1.08714,0.61151,1.37138,0.004852,0.004852,0.004852
54,11746.4,1.23945,0.84952,1.34168,0.94337,0.87458,0.94535,0.6698,1.10901,0.62,1.38521,0.004753,0.004753,0.004753
55,11963,1.23203,0.85046,1.33283,0.91808,0.87894,0.9464,0.67566,1.09348,0.60857,1.37389,0.004654,0.004654,0.004654
56,12178.3,1.2142,0.84249,1.32365,0.93268,0.87628,0.9476,0.67333,1.10067,0.60909,1.37632,0.004555,0.004555,0.004555
57,12395.9,1.21686,0.82417,1.31692,0.93135,0.8838,0.94423,0.67044,1.10457,0.60881,1.37853,0.004456,0.004456,0.004456
