epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,13851,1.37034,1.06577,1.48044,0.92779,0.86718,0.92795,0.5519,1.36198,0.79606,1.52816,0.007525,0.007525,0.007525
22,14515.1,1.3621,1.05003,1.47573,0.93685,0.86243,0.93357,0.56125,1.3463,0.80096,1.50223,0.00740125,0.00740125,0.00740125
23,15180.8,1.34919,1.04064,1.46712,0.92348,0.86933,0.9287,0.55503,1.35289,0.78591,1.50882,0.0072775,0.0072775,0.0072775
24,15845.2,1.35338,1.0336,1.46365,0.92498,0.87616,0.93386,0.56407,1.3389,0.78214,1.51044,0.00715375,0.00715375,0.00715375
25,16509.1,1.34695,1.03541,1.45391,0.93752,0.88126,0.93788,0.571,1.32057,0.7717,1.4827,0.00703,0.00703,0.00703
26,17173.9,1.34148,1.03812,1.46193,0.93974,0.88482,0.94271,0.57805,1.31004,0.75882,1.47931,0.00690625,0.00690625,0.00690625
27,17838,1.3377,1.02488,1.45196,0.93805,0.87951,0.93912,0.57564,1.31132,0.76371,1.48032,0.0067825,0.0067825,0.0067825
28,18500.7,1.33505,1.02142,1.4562,0.93499,0.8727,0.93669,0.57496,1.31322,0.75518,1.47512,0.00665875,0.00665875,0.00665875
29,19164.9,1.3203,0.99779,1.43542,0.92936,0.87933,0.934,0.57775,1.30191,0.75339,1.47979,0.006535,0.006535,0.006535
30,19829.4,1.31854,0.9948,1.43822,0.94293,0.8846,0.9401,0.58134,1.29422,0.74797,1.47347,0.00641125,0.00641125,0.00641125
31,20493.9,1.31646,0.98155,1.43921,0.9382,0.88173,0.93997,0.57987,1.29035,0.74173,1.46506,0.0062875,0.0062875,0.0062875
32,21158.5,1.29854,0.97382,1.43017,0.93944,0.88449,0.94131,0.58225,1.30042,0.72352,1.48043,0.00616375,0.00616375,0.00616375
33,21822.9,1.30149,0.97987,1.42847,0.93455,0.88958,0.94155,0.58709,1.29289,0.72187,1.47247,0.00604,0.00604,0.00604
34,39737.4,1.29265,0.95727,1.41809,0.94806,0.88237,0.94403,0.58859,1.28745,0.71758,1.46817,0.00591625,0.00591625,0.00591625
35,40659.6,1.2986,0.96485,1.42549,0.94016,0.89228,0.94548,0.59396,1.2725,0.71427,1.45393,0.0057925,0.0057925,0.0057925
36,41302.8,1.28979,0.95809,1.42385,0.94123,0.89001,0.94807,0.59547,1.28039,0.7083,1.45567,0.00566875,0.00566875,0.00566875
37,41885.8,1.2807,0.94908,1.41126,0.94745,0.88922,0.94689,0.59793,1.26081,0.70077,1.43882,0.005545,0.005545,0.005545
38,42525,1.27072,0.93694,1.40371,0.94745,0.89501,0.94838,0.6,1.25448,0.69394,1.43343,0.00542125,0.00542125,0.00542125
39,43093.9,1.26973,0.93219,1.40661,0.946,0.89236,0.94844,0.59909,1.25567,0.68601,1.43859,0.0052975,0.0052975,0.0052975
40,43661.3,1.27538,0.93542,1.40921,0.94293,0.88741,0.94511,0.59902,1.25236,0.68249,1.44186,0.00517375,0.00517375,0.00517375
41,44237.1,1.26729,0.92043,1.40147,0.94654,0.88936,0.94959,0.60201,1.25712,0.67474,1.43768,0.00505,0.00505,0.00505
42,44815.8,1.2641,0.9307,1.40139,0.94311,0.89812,0.95082,0.6024,1.25033,0.67216,1.43672,0.00492625,0.00492625,0.00492625
43,45394.5,1.25226,0.90671,1.39729,0.93696,0.90174,0.95111,0.60498,1.24884,0.6706,1.43584,0.0048025,0.0048025,0.0048025
44,45978.6,1.25107,0.91684,1.3916,0.94353,0.89456,0.95212,0.60729,1.23748,0.66529,1.42226,0.00467875,0.00467875,0.00467875
45,568.785,1.23559,0.90094,1.38211,0.94354,0.89465,0.95241,0.60829,1.24065,0.66029,1.42828,0.004555,0.004555,0.004555
46,1145.43,1.23869,0.89873,1.38708,0.93712,0.89747,0.95153,0.6093,1.22981,0.6568,1.4203,0.00443125,0.00443125,0.00443125
47,1719.98,1.23423,0.89409,1.38341,0.94605,0.89682,0.95534,0.61359,1.23241,0.65777,1.41557,0.0043075,0.0043075,0.0043075
48,2295.29,1.2342,0.88663,1.37828,0.95078,0.89682,0.95474,0.61032,1.23531,0.64706,1.41887,0.00418375,0.00418375,0.00418375
49,2870.83,1.22797,0.87756,1.37241,0.94506,0.89854,0.95686,0.61245,1.23319,0.64374,1.41908,0.00406,0.00406,0.00406
50,3443.14,1.21393,0.87414,1.36427,0.94864,0.8913,0.9551,0.61709,1.22585,0.64363,1.41419,0.00393625,0.00393625,0.00393625
51,4016.53,1.21465,0.86989,1.36706,0.9422,0.89909,0.95444,0.61441,1.22226,0.64615,1.41289,0.0038125,0.0038125,0.0038125
52,4588.81,1.19634,0.85289,1.35886,0.94286,0.90234,0.95529,0.61589,1.21446,0.63922,1.41109,0.00368875,0.00368875,0.00368875
53,5162.47,1.20428,0.85606,1.36568,0.94705,0.89942,0.95551,0.61949,1.21387,0.63362,1.40971,0.003565,0.003565,0.003565
54,5736.74,1.20702,0.85451,1.36301,0.94837,0.89998,0.95667,0.62157,1.21236,0.62988,1.40769,0.00344125,0.00344125,0.00344125
55,6309.86,1.18483,0.8367,1.35136,0.95249,0.90071,0.9581,0.62273,1.20828,0.62422,1.40396,0.0033175,0.0033175,0.0033175
56,6884.02,1.19171,0.83724,1.35151,0.94727,0.89877,0.95662,0.62288,1.20762,0.62107,1.40038,0.00319375,0.00319375,0.00319375
57,7457.74,1.18174,0.84074,1.34175,0.9482,0.89877,0.95486,0.62323,1.2044,0.6215,1.39774,0.00307,0.00307,0.00307
58,8030.97,1.17153,0.83413,1.33829,0.94719,0.90198,0.95616,0.62388,1.20567,0.62111,1.39988,0.00294625,0.00294625,0.00294625
59,8604.36,1.16514,0.82331,1.33382,0.94807,0.90526,0.95642,0.62644,1.20309,0.61386,1.40015,0.0028225,0.0028225,0.0028225
60,9177.57,1.16158,0.81961,1.33149,0.95307,0.89682,0.9577,0.62573,1.1992,0.61236,1.39788,0.00269875,0.00269875,0.00269875
61,9750.87,1.16471,0.82383,1.33861,0.9466,0.90071,0.95749,0.62866,1.19566,0.6091,1.39532,0.002575,0.002575,0.002575
62,10323.2,1.15434,0.81135,1.32368,0.94895,0.90475,0.95785,0.62859,1.1946,0.6086,1.39278,0.00245125,0.00245125,0.00245125
63,10897,1.14049,0.7984,1.3197,0.94954,0.90361,0.95812,0.6294,1.19323,0.60363,1.39303,0.0023275,0.0023275,0.0023275
64,11469.5,1.14388,0.79516,1.31961,0.95159,0.90526,0.95979,0.63012,1.191,0.60234,1.38957,0.00220375,0.00220375,0.00220375
65,12043.7,1.14643,0.79697,1.3207,0.95032,0.90616,0.959,0.63081,1.19053,0.59862,1.38799,0.00208,0.00208,0.00208
66,12617,1.13476,0.78674,1.31934,0.95382,0.90479,0.95984,0.63338,1.18832,0.59577,1.3863,0.00195625,0.00195625,0.00195625
67,13190.5,1.12065,0.78033,1.30895,0.95258,0.90136,0.95939,0.63369,1.18329,0.59223,1.38259,0.0018325,0.0018325,0.0018325
68,13763.3,1.12958,0.77768,1.30864,0.9487,0.90599,0.9599,0.6352,1.18323,0.59228,1.38319,0.00170875,0.00170875,0.00170875
69,14336,1.1221,0.78467,1.3033,0.9464,0.90461,0.95966,0.63633,1.18205,0.58988,1.38268,0.001585,0.001585,0.001585
70,14909.8,1.10906,0.77624,1.30147,0.94936,0.90396,0.95854,0.6383,1.17885,0.59024,1.38018,0.00146125,0.00146125,0.00146125
71,15484.8,1.06769,0.56927,1.30174,0.95248,0.90785,0.96053,0.63982,1.17542,0.58742,1.37687,0.0013375,0.0013375,0.0013375
72,16049.5,1.04093,0.55367,1.28627,0.95054,0.90623,0.95972,0.64288,1.17033,0.58683,1.37373,0.00121375,0.00121375,0.00121375
73,16614.4,1.03273,0.54361,1.27465,0.95192,0.90583,0.95879,0.64441,1.16723,0.58398,1.37269,0.00109,0.00109,0.00109
74,17178.5,1.02413,0.53949,1.27335,0.95298,0.90757,0.96051,0.64587,1.16619,0.58189,1.37236,0.00096625,0.00096625,0.00096625
75,17744.6,1.01861,0.53215,1.27054,0.9549,0.90526,0.95956,0.64579,1.16621,0.58006,1.37247,0.0008425,0.0008425,0.0008425
76,18309.2,1.01218,0.52464,1.26372,0.95314,0.90421,0.95949,0.64603,1.16651,0.57858,1.37354,0.00071875,0.00071875,0.00071875
77,18874.3,1.01028,0.52635,1.26219,0.95165,0.90679,0.95958,0.64684,1.16559,0.57721,1.37353,0.000595,0.000595,0.000595
78,19438.9,1.00292,0.52164,1.26361,0.95399,0.90623,0.96037,0.64696,1.16329,0.57526,1.37195,0.00047125,0.00047125,0.00047125
79,20006.5,0.99681,0.51591,1.25236,0.9539,0.90635,0.95924,0.64649,1.16234,0.57415,1.37166,0.0003475,0.0003475,0.0003475
80,20569.9,0.99459,0.51582,1.25222,0.95454,0.90428,0.96035,0.64773,1.16095,0.57319,1.37116,0.00022375,0.00022375,0.00022375
