epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12717.2,1.29184,0.94844,1.36747,0.94821,0.89844,0.94578,0.61137,1.23311,0.68872,1.35311,0.005842,0.005842,0.005842
44,12998.9,1.28383,0.94734,1.36694,0.94788,0.89033,0.94706,0.61535,1.21977,0.68789,1.34531,0.005743,0.005743,0.005743
45,13279.8,1.28314,0.94579,1.36898,0.94932,0.89779,0.94828,0.6194,1.20981,0.67589,1.33852,0.005644,0.005644,0.005644
46,13559.5,1.27394,0.9399,1.35899,0.95091,0.89252,0.94883,0.62074,1.20414,0.67751,1.33225,0.005545,0.005545,0.005545
47,13827.3,1.27592,0.9487,1.36035,0.95147,0.90104,0.95121,0.6218,1.19411,0.67186,1.33165,0.005446,0.005446,0.005446
48,14088.8,1.27627,0.92902,1.3589,0.94235,0.90155,0.94963,0.6241,1.19862,0.65733,1.33549,0.005347,0.005347,0.005347
49,14371.4,1.26234,0.92413,1.35389,0.94661,0.89812,0.94947,0.62248,1.20544,0.65955,1.33729,0.005248,0.005248,0.005248
50,14629.3,1.26264,0.91538,1.34617,0.94822,0.90234,0.94988,0.62315,1.20483,0.6578,1.33164,0.005149,0.005149,0.005149
51,15158.1,1.2535,0.91231,1.34258,0.94881,0.89974,0.9509,0.62496,1.20035,0.65778,1.33023,0.00505,0.00505,0.00505
52,15423.5,1.25132,0.90762,1.33914,0.94756,0.90104,0.95004,0.62761,1.19382,0.65299,1.32762,0.004951,0.004951,0.004951
53,15952,1.24743,0.90786,1.34441,0.94922,0.90362,0.94974,0.62645,1.19382,0.64778,1.32949,0.004852,0.004852,0.004852
54,16440.4,1.24517,0.9102,1.34252,0.94415,0.89961,0.94982,0.63002,1.18542,0.64531,1.32352,0.004753,0.004753,0.004753
55,16792.5,1.2426,0.90494,1.33264,0.94972,0.90266,0.9533,0.62964,1.18211,0.63719,1.32132,0.004654,0.004654,0.004654
56,17076.2,1.24105,0.89877,1.3298,0.95362,0.89682,0.95359,0.63205,1.17764,0.63588,1.31509,0.004555,0.004555,0.004555
57,17368.3,1.2407,0.8913,1.33315,0.95389,0.89947,0.95347,0.63317,1.17298,0.63619,1.3104,0.004456,0.004456,0.004456
58,17659.5,1.2213,0.88195,1.31815,0.9499,0.89824,0.95017,0.63279,1.16927,0.63719,1.31187,0.004357,0.004357,0.004357
59,17971.8,1.22913,0.87074,1.32318,0.94973,0.90299,0.95363,0.63644,1.16956,0.62836,1.30925,0.004258,0.004258,0.004258
